moneyness,maturity,fitted_vol
0.687593,0.147666,0.356557
0.687593,0.151076,0.354568
0.687593,0.154487,0.35272
0.687593,0.157898,0.351031
0.687593,0.161308,0.34951
0.687593,0.164719,0.34816
0.687593,0.16813,0.346975
0.687593,0.17154,0.345948
0.687593,0.174951,0.345066
0.687593,0.178362,0.344315
0.687593,0.181772,0.343681
0.687593,0.185183,0.343149
0.687593,0.188594,0.342704
0.687593,0.192004,0.342335
0.687593,0.195415,0.342029
0.687593,0.198826,0.341777
0.687593,0.202237,0.341569
0.687593,0.205647,0.341398
0.687593,0.209058,0.341257
0.687593,0.212469,0.341142
0.687593,0.215879,0.341048
0.687593,0.21929,0.34097
0.687593,0.222701,0.340906
0.687593,0.226111,0.340854
0.687593,0.229522,0.340811
0.687593,0.232933,0.340775
0.687593,0.236343,0.340746
0.687593,0.239754,0.340722
0.687593,0.243165,0.340702
0.687593,0.246575,0.340685
0.705337,0.0794521,0.385615
0.705337,0.0828627,0.385127
0.705337,0.0862734,0.384576
0.705337,0.0896841,0.383955
0.705337,0.0930948,0.383254
0.705337,0.0965055,0.382467
0.705337,0.0999161,0.381583
0.705337,0.103327,0.380593
0.705337,0.106737,0.379489
0.705337,0.110148,0.378262
0.705337,0.113559,0.376907
0.705337,0.11697,0.375418
0.705337,0.12038,0.373795
0.705337,0.123791,0.372039
0.705337,0.127202,0.37016
0.705337,0.130612,0.36817
0.705337,0.134023,0.366088
0.705337,0.137434,0.36394
0.705337,0.140844,0.361754
0.705337,0.144255,0.359564
0.705337,0.147666,0.357405
0.705337,0.151076,0.355309
0.705337,0.154487,0.353308
0.705337,0.157898,0.351428
0.705337,0.161308,0.349689
0.705337,0.164719,0.348103
0.705337,0.16813,0.346677
0.705337,0.17154,0.345411
0.705337,0.174951,0.3443
0.705337,0.178362,0.343335
0.705337,0.181772,0.342504
0.705337,0.185183,0.341796
0.705337,0.188594,0.341195
0.705337,0.192004,0.340689
0.705337,0.195415,0.340265
