,J=66,J=68,J=70,J=72,J=74,J=76,J=78,J=80,J=82,J=84,J=86,J=88,J=90,J=92,J=94,J=96,J=98,J=100,J=102,J=104,J=106,J=108,J=110,J=112,J=114,J=116,J=118,J=120
N=190,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.51,-1.12,-1.13,-0.55,2.07,7.27,11.52,16.32,20.73,24.27,28.43,32.25,35.25,38.9,42.27,44.84,48.09,51.09,53.31,56.23,58.92,60.85
N=195,-0.42,-1.06,-1.06,-0.46,-1.09,-1.09,-0.51,-1.12,-1.12,-0.55,-0.19,5.26,9.75,14.77,19.39,23.12,27.46,31.46,34.62,38.43,41.94,44.66,48.05,51.17,53.52,56.57,59.38,61.42
N=200,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.55,-1.16,3.13,7.85,13.09,17.93,21.86,26.38,30.56,33.89,37.85,41.52,44.38,47.91,51.17,53.65,56.82,59.75,61.91
N=205,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.55,-1.16,0.85,5.83,11.3,16.35,20.48,25.19,29.55,33.05,37.18,41,44.01,47.68,51.08,53.68,56.98,60.03,62.31
N=210,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.54,-1.16,-1.16,3.68,9.39,14.66,19,23.9,28.44,32.12,36.41,40.39,43.55,47.36,50.9,53.63,57.06,60.23,62.63
N=215,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.54,-1.16,-1.16,1.4,7.35,12.84,17.4,22.5,27.23,31.08,35.54,39.68,42.99,46.95,50.63,53.5,57.06,60.35,62.87
N=220,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.54,-1.15,-1.16,-0.58,5.19,10.92,15.69,20.99,25.91,29.94,34.58,38.88,42.35,46.46,50.27,53.28,56.97,60.39,63.02
N=225,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.54,-1.15,-1.16,-0.58,2.91,8.87,13.86,19.38,24.49,28.71,33.52,37.99,41.61,45.87,49.83,52.98,56.8,60.35,63.1
N=230,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.54,-1.15,-1.15,-0.58,0.5,6.71,11.93,17.66,22.97,27.38,32.36,37,40.78,45.2,49.3,52.59,56.54,60.22,63.11
N=235,-0.42,-1.05,-1.06,-0.46,-1.09,-1.09,-0.5,-1.12,-1.12,-0.54,-1.15,-1.15,-0.58,-1.19,4.43,9.88,15.83,21.35,25.94,31.11,35.92,39.87,44.44,48.69,52.12,56.21,60.02,63.03
N=240,-0.41,-1.05,-1.06,-0.46,-1.09,-1.1,-0.5,-1.12,-1.12,-0.53,-1.15,-1.15,-0.58,-1.19,2.04,7.73,13.89,19.62,24.41,29.77,34.75,38.86,43.59,48,51.57,55.8,59.74,62.88
N=245,-0.41,-1.05,-1.06,-0.46,-1.09,-1.1,-0.5,-1.12,-1.12,-0.53,-1.15,-1.15,-0.57,-1.18,-0.49,5.46,11.85,17.79,22.78,28.33,33.49,37.77,42.66,47.22,50.93,55.3,59.38,62.65
N=250,-0.41,-1.05,-1.06,-0.46,-1.09,-1.1,-0.49,-1.12,-1.12,-0.53,-1.15,-1.15,-0.57,-1.18,-1.19,3.08,9.7,15.86,21.06,26.79,32.13,36.59,41.64,46.35,50.22,54.73,58.94,62.34
N=255,-0.41,-1.05,-1.06,-0.46,-1.09,-1.1,-0.49,-1.12,-1.12,-0.53,-1.15,-1.15,-0.57,-1.18,-1.18,0.59,7.45,13.83,19.23,25.16,30.69,35.32,40.53,45.41,49.42,54.08,58.43,61.96
N=260,-0.41,-1.05,-1.06,-0.46,-1.09,-1.09,-0.49,-1.12,-1.12,-0.53,-1.15,-1.15,-0.57,-1.18,-1.18,-0.6,5.09,11.69,17.31,23.44,29.15,33.96,39.34,44.38,48.55,53.35,57.84,61.5
N=265,-0.41,-1.05,-1.06,-0.46,-1.09,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.15,-0.57,-1.18,-1.18,-0.6,2.6,9.45,15.29,21.62,27.53,32.51,38.07,43.27,47.59,52.54,57.18,60.98
N=270,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.13,-1.13,-0.53,-1.15,-1.15,-0.57,-1.18,-1.18,-0.6,-0.12,7.1,13.17,19.71,25.81,30.98,36.71,42.07,46.56,51.66,56.44,60.37
